image_name,predicted_text,avg_similarity,char1_pred,char1_score,char2_pred,char2_score,char3_pred,char3_score,char4_pred,char4_score,char5_pred,char5_score
cleaned_captcha_00.png,nunu,0.36678213626146317,n,0.35838574171066284,u,0.3425484895706177,n,0.4021576941013336,u,0.3640366196632385,,
cleaned_captcha_01.png,ymn,0.3164292573928833,y,0.2876872718334198,m,0.3285675644874573,n,0.3330329358577728,,,,
cleaned_captcha_02.png,mumm,0.31419678032398224,m,0.3371674418449402,u,0.3315401077270508,m,0.32285866141319275,m,0.26522091031074524,,
cleaned_captcha_03.png,umyyn,0.3712335109710693,u,0.30936291813850403,m,0.31682288646698,y,0.40051692724227905,y,0.43711939454078674,n,0.3923454284667969
cleaned_captcha_04.png,mun,0.3251120050748189,m,0.32225778698921204,u,0.3300246298313141,n,0.32305359840393066,,,,
cleaned_captcha_05.png,ymhu,0.3749147057533264,y,0.4522063732147217,m,0.34092041850090027,h,0.32647889852523804,u,0.3800531327724457,,
cleaned_captcha_06.png,umu,0.3162681559721629,u,0.2919532358646393,m,0.32370293140411377,u,0.3331483006477356,,,,
cleaned_captcha_07.png,nu7,0.3514460027217865,n,0.39231446385383606,u,0.39276912808418274,7,0.2692544162273407,,,,
cleaned_captcha_08.png,unnu,0.33747824653983116,u,0.3675552308559418,n,0.35558903217315674,n,0.24688144028186798,u,0.37988728284835815,,
cleaned_captcha_09.png,huu,0.34216539065043133,h,0.2962680757045746,u,0.36550092697143555,u,0.3647271692752838,,,,
